real_set,method,bank,n,coverage
Real_100,vincent,gap_0.2,50,0.9607
Real_100,vincent,gap_0.2,100,0.9394
Real_100,vincent,gap_0.2,200,0.9181
Real_100,vincent,gap_0.3,10,1.0
Real_100,vincent,gap_0.3,20,1.0
Real_100,vincent,gap_0.3,50,0.9812
Real_100,vincent,gap_0.3,100,0.9787
Real_100,vincent,gap_0.3,200,0.96
Real_100,z_test,none,10,0.9936
Real_100,z_test,none,20,0.9939
Real_100,z_test,none,50,0.993
Real_100,z_test,none,100,0.9956
Real_100,z_test,none,200,0.993
Real_20,e_value_constant_0.25,none,10,1.0
Real_20,e_value_constant_0.25,none,20,1.0
Real_20,e_value_constant_0.25,none,50,1.0
Real_20,e_value_constant_0.25,none,100,1.0
Real_20,e_value_constant_0.25,none,200,1.0
Real_20,e_value_constant_0.5,none,10,1.0
Real_20,e_value_constant_0.5,none,20,1.0
Real_20,e_value_constant_0.5,none,50,1.0
Real_20,e_value_constant_0.5,none,100,1.0
Real_20,e_value_constant_0.5,none,200,1.0
Real_20,e_value_wsr,none,10,0.9995
Real_20,e_value_wsr,none,20,0.9985
Real_20,e_value_wsr,none,50,0.999
Real_20,e_value_wsr,none,100,0.9985
Real_20,e_value_wsr,none,200,1.0
Real_20,empirical_bernstein,none,10,1.0
Real_20,empirical_bernstein,none,20,1.0
Real_20,empirical_bernstein,none,50,1.0
Real_20,empirical_bernstein,none,100,1.0
Real_20,empirical_bernstein,none,200,1.0
Real_20,hoeffding,none,10,1.0
Real_20,hoeffding,none,20,1.0
Real_20,hoeffding,none,50,1.0
Real_20,hoeffding,none,100,1.0
Real_20,hoeffding,none,200,1.0
Real_20,sequential_t_test,none,10,0.9515
Real_20,sequential_t_test,none,20,0.9755
Real_20,sequential_t_test,none,50,0.9975
Real_20,sequential_t_test,none,100,0.9985
Real_20,sequential_t_test,none,200,1.0
Real_20,sim2real,Ideal,10,1.0
Real_20,sim2real,Ideal,20,1.0
Real_20,sim2real,Ideal,50,1.0
Real_20,sim2real,Ideal,100,0.9995
Real_20,sim2real,Ideal,200,1.0
Real_20,sim2real,Sim_10080,10,0.9995
Real_20,sim2real,Sim_10080,20,0.998
Real_20,sim2real,Sim_10080,50,0.9975
Real_20,sim2real,Sim_10080,100,0.9975
Real_20,sim2real,Sim_10080,200,1.0
Real_20,sim2real,Sim_252,10,0.9995
Real_20,sim2real,Sim_252,20,0.997
Real_20,sim2real,Sim_252,50,0.995
Real_20,sim2real,Sim_252,100,1.0
Real_20,sim2real,Sim_252,200,0.9995
Real_20,sim2real,Sim_35,10,0.9995
Real_20,sim2real,Sim_35,20,0.999
Real_20,sim2real,Sim_35,50,1.0
Real_20,sim2real,Sim_35,100,0.998
Real_20,sim2real,Sim_35,200,0.999
Real_20,sim2real,Sim_756,10,0.9995
Real_20,sim2real,Sim_756,20,0.998
Real_20,sim2real,Sim_756,50,0.9985
Real_20,sim2real,Sim_756,100,0.998
Real_20,sim2real,Sim_756,200,1.0
Real_20,sim2real,Sim_7_biased,10,0.999
Real_20,sim2real,Sim_7_biased,20,0.997
Real_20,sim2real,Sim_7_biased,50,0.9975
Real_20,sim2real,Sim_7_biased,100,0.9985
Real_20,sim2real,Sim_7_biased,200,0.9735
Real_20,t_test,none,10,0.917
Real_20,t_test,none,20,0.9225
Real_20,t_test,none,50,0.938
Real_20,t_test,none,100,0.958
Real_20,t_test,none,200,0.9385
Real_20,vincent,Ideal,10,1.0
Real_20,vincent,Ideal,20,1.0
Real_20,vincent,Ideal,50,1.0
Real_20,vincent,Ideal,100,1.0
Real_20,vincent,Ideal,200,1.0
Real_20,vincent,gap_0.05,10,0.9995
Real_20,vincent,gap_0.05,20,0.9935
Real_20,vincent,gap_0.05,50,0.8815
Real_20,vincent,gap_0.05,100,0.757
Real_20,vincent,gap_0.05,200,0.511
Real_20,vincent,gap_0.1,10,1.0
Real_20,vincent,gap_0.1,20,0.9995
Real_20,vincent,gap_0.1,50,0.9795
Real_20,vincent,gap_0.1,100,0.875
Real_20,vincent,gap_0.1,200,0.7945
Real_20,vincent,gap_0.2,10,1.0
Real_20,vincent,gap_0.2,20,1.0
Real_20,vincent,gap_0.2,50,1.0
Real_20,vincent,gap_0.2,100,1.0
Real_20,vincent,gap_0.2,200,0.9995
Real_20,vincent,gap_0.3,10,1.0
Real_20,vincent,gap_0.3,20,1.0
Real_20,vincent,gap_0.3,50,1.0
Real_20,vincent,gap_0.3,100,1.0
Real_20,vincent,gap_0.3,200,1.0
Real_20,z_test,none,10,0.9995
Real_20,z_test,none,20,0.998
Real_20,z_test,none,50,0.998
Real_20,z_test,none,100,0.9965
Real_20,z_test,none,200,0.9995
Real_6,e_value_constant_0.25,none,10,1.0
Real_6,e_value_constant_0.25,none,20,1.0
Real_6,e_value_constant_0.25,none,50,1.0
Real_6,e_value_constant_0.25,none,100,1.0
Real_6,e_value_constant_0.25,none,200,1.0
Real_6,e_value_constant_0.5,none,10,1.0
Real_6,e_value_constant_0.5,none,20,1.0
Real_6,e_value_constant_0.5,none,50,1.0
Real_6,e_value_constant_0.5,none,100,1.0
Real_6,e_value_constant_0.5,none,200,1.0
Real_6,e_value_wsr,none,10,1.0
Real_6,e_value_wsr,none,20,1.0
Real_6,e_value_wsr,none,50,1.0
Real_6,e_value_wsr,none,100,1.0
Real_6,e_value_wsr,none,200,1.0
Real_6,empirical_bernstein,none,10,1.0
Real_6,empirical_bernstein,none,20,1.0
Real_6,empirical_bernstein,none,50,1.0
Real_6,empirical_bernstein,none,100,1.0
Real_6,empirical_bernstein,none,200,1.0
Real_6,hoeffding,none,10,1.0
Real_6,hoeffding,none,20,1.0
Real_6,hoeffding,none,50,1.0
Real_6,hoeffding,none,100,1.0
Real_6,hoeffding,none,200,1.0
Real_6,sequential_t_test,none,10,1.0
Real_6,sequential_t_test,none,20,1.0
Real_6,sequential_t_test,none,50,1.0
Real_6,sequential_t_test,none,100,1.0
Real_6,sequential_t_test,none,200,1.0
Real_6,sim2real,Ideal,10,1.0
Real_6,sim2real,Ideal,20,1.0
Real_6,sim2real,Ideal,50,1.0
Real_6,sim2real,Ideal,100,1.0
Real_6,sim2real,Ideal,200,1.0
Real_6,sim2real,Sim_10080,10,1.0
Real_6,sim2real,Sim_10080,20,0.9983333333333333
Real_6,sim2real,Sim_10080,50,0.9933333333333333
Real_6,sim2real,Sim_10080,100,0.9983333333333333
Real_6,sim2real,Sim_10080,200,1.0
Real_6,sim2real,Sim_252,10,1.0
Real_6,sim2real,Sim_252,20,0.9966666666666667
Real_6,sim2real,Sim_252,50,0.9916666666666667
Real_6,sim2real,Sim_252,100,0.9983333333333333
Real_6,sim2real,Sim_252,200,1.0
Real_6,sim2real,Sim_35,10,0.9983333333333333
Real_6,sim2real,Sim_35,20,1.0
Real_6,sim2real,Sim_35,50,1.0
Real_6,sim2real,Sim_35,100,1.0
Real_6,sim2real,Sim_35,200,1.0
Real_6,sim2real,Sim_756,10,1.0
Real_6,sim2real,Sim_756,20,1.0
Real_6,sim2real,Sim_756,50,0.9983333333333333
Real_6,sim2real,Sim_756,100,0.9983333333333333
Real_6,sim2real,Sim_756,200,1.0
Real_6,sim2real,Sim_7_biased,10,1.0
Real_6,sim2real,Sim_7_biased,20,0.995
Real_6,sim2real,Sim_7_biased,50,0.9866666666666667
Real_6,sim2real,Sim_7_biased,100,0.995
Real_6,sim2real,Sim_7_biased,200,0.9933333333333333
Real_6,t_test,none,10,0.9716666666666667
Real_6,t_test,none,20,0.965
Real_6,t_test,none,50,0.9633333333333334
Real_6,t_test,none,100,0.9716666666666667
Real_6,t_test,none,200,0.92
Real_6,vincent,Ideal,10,1.0
Real_6,vincent,Ideal,20,1.0
Real_6,vincent,Ideal,50,1.0
Real_6,vincent,Ideal,100,1.0
Real_6,vincent,Ideal,200,1.0
Real_6,vincent,gap_0.05,10,1.0
Real_6,vincent,gap_0.05,20,1.0
Real_6,vincent,gap_0.05,50,0.9966666666666667
Real_6,vincent,gap_0.05,100,0.965
Real_6,vincent,gap_0.05,200,0.68
Real_6,vincent,gap_0.1,10,1.0
Real_6,vincent,gap_0.1,20,1.0
Real_6,vincent,gap_0.1,50,1.0
Real_6,vincent,gap_0.1,100,1.0
Real_6,vincent,gap_0.1,200,0.99
Real_6,vincent,gap_0.2,10,1.0
Real_6,vincent,gap_0.2,20,1.0
Real_6,vincent,gap_0.2,50,1.0
Real_6,vincent,gap_0.2,100,1.0
Real_6,vincent,gap_0.2,200,1.0
Real_6,vincent,gap_0.3,10,1.0
Real_6,vincent,gap_0.3,20,1.0
Real_6,vincent,gap_0.3,50,1.0
Real_6,vincent,gap_0.3,100,1.0
Real_6,vincent,gap_0.3,200,1.0
Real_6,z_test,none,10,1.0
Real_6,z_test,none,20,1.0
Real_6,z_test,none,50,1.0
Real_6,z_test,none,100,1.0
Real_6,z_test,none,200,1.0
